Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
2700,2,2,1,31,0,104,2891,0,140,2864,0,120,2898,0,40,2842,0,60,1187,0,19,1153,0
14500,2,2,1,37,-2,309,403,-2,94,309,-2,381,94,-2,362,381,-2,0,362,-2,116,0,0
3600,2,2,1,38,0,140,3699,0,133,3628,0,84,3229,0,102,2792,0,120,2555,0,3730,1605,1
6300,1,5,1,66,2,624,2513,9,1001,1407,2,69,457,8,1165,1695,2,3317,5518,11,3303,3400,0
9500,2,1,1,39,2,0,100,2,0,100,2,0,100,2,0,0,-2,0,0,-2,0,0,1
17200,2,2,1,30,-2,0,-612,-2,5830,-1334,-1,0,3830,2,100,3115,0,81,2507,0,80,1951,0
2100,2,3,1,23,2,81,1992,0,82,2026,0,81,1671,0,41,683,0,56,376,-1,760,42,1
2300,2,2,1,49,2,112,2408,0,104,2430,0,84,2434,0,40,2356,0,40,774,0,28,781,1
11300,2,1,1,38,-1,40,312,0,17,234,-1,82,17,-1,31,82,-1,23,31,-1,41,23,1
19900,1,1,1,57,-2,200,548,-2,1247,200,-2,127,1245,-2,0,127,-2,212,0,-2,31,212,0
7900,2,3,1,41,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,20,0,0
1900,1,3,1,52,0,65,1532,0,82,1572,0,187,1628,0,0,1774,2,159,1741,2,0,1873,0
10700,1,1,1,38,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
3300,2,2,1,39,2,156,3144,2,160,3227,2,0,3309,2,77,3234,0,72,1983,0,72,1934,1
3900,2,2,1,24,0,80,830,0,80,802,0,240,791,0,160,998,0,160,1146,0,120,335,0
2000,1,2,1,24,0,72,1929,0,68,1910,0,63,1846,0,80,1823,0,80,1816,0,64,1799,0
8400,2,2,1,31,-1,33,79,-1,0,30,-1,0,0,-2,0,0,-2,0,0,-2,0,0,1
4300,1,2,1,40,0,200,2811,0,200,2964,0,320,3116,0,0,3384,2,280,3294,2,0,3487,1
4500,2,3,1,41,0,233,4652,0,231,4751,0,200,4841,0,168,4771,0,200,4646,0,200,4555,0
5300,2,2,1,35,1,0,0,-2,12,0,-1,147,12,-1,59,147,-1,222,59,-1,59,222,0
3300,2,2,1,37,0,100,2542,0,400,2392,0,120,2745,0,120,1626,0,200,1297,0,200,1466,0
5900,1,3,1,52,0,103,3552,0,105,3626,0,106,3700,0,160,3775,0,126,3904,0,89,3997,1
10800,2,2,1,40,-1,0,33,2,33,17,-1,0,33,0,23,17,-1,17,23,-1,17,17,0
1500,2,2,1,39,0,120,1540,0,80,1475,0,60,1519,0,60,1446,0,60,1477,0,80,1507,0
7200,1,1,1,35,0,145,3428,0,96,3372,0,940,2488,0,152,3274,0,148,3143,0,20,3100,0
2900,2,2,1,36,1,76,1207,2,48,1252,2,56,1267,2,52,1290,2,56,1316,2,56,1344,0
7600,1,3,1,30,-2,40,2065,-2,141,392,-2,37,137,-2,35,37,-2,0,-35,-2,63,-39,0
11100,2,1,1,37,0,161,3908,0,172,3588,0,166,3472,0,116,3513,0,100,3531,0,104,3587,0
2800,1,2,1,35,-1,197,16,-1,45,197,0,43,223,0,8,246,0,40,235,0,9,256,1
15500,2,2,1,43,2,181,3146,2,0,2406,2,61,1610,0,0,1655,0,40,1512,0,143,761,1
5500,1,2,1,72,0,203,5408,0,200,5413,0,200,5398,0,241,5431,0,201,5547,0,211,5488,0
5600,2,2,1,24,0,91,2510,0,95,2560,0,97,2614,0,97,2667,0,101,2720,0,120,2777,0
8900,1,2,1,36,0,260,5782,0,188,5499,0,200,5377,0,200,5283,0,200,5253,0,400,5219,0
5300,2,2,1,29,0,80,1289,0,80,1348,0,80,1394,0,40,1362,0,80,1313,0,285,668,0
11900,1,3,1,57,1,7,0,-1,51,7,-1,454,51,-1,15,454,-1,34,15,-1,0,34,0
1100,2,3,1,37,0,80,1210,0,65,1207,0,58,1190,0,32,1099,0,200,1097,0,40,1105,1
9200,2,1,1,44,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,5,0,-2,49,5,0
9700,2,2,1,26,0,264,7039,0,148,5970,0,124,3748,0,100,3249,0,121,2862,0,1808,2912,0
500,1,3,1,34,0,45,301,0,46,326,0,46,351,0,13,375,0,17,383,0,7,362,1
1300,2,2,1,27,-2,0,17,-2,0,0,-2,12,0,-2,0,12,-2,0,0,-2,0,0,0
6500,2,1,1,42,-1,318,976,-1,43,318,-1,0,43,-1,1604,0,-1,756,1604,-1,167,756,0
