Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
8900,1,2,1,51,0,252,6155,0,180,5721,0,1499,4703,0,240,6123,0,208,6122,0,200,5781,0
2000,2,2,1,35,0,80,112,0,48,183,0,0,200,0,0,0,-2,0,0,-2,0,0,0
8700,1,1,2,28,1,0,1240,2,136,1209,2,0,1325,2,103,1291,2,0,1373,2,107,1345,1
9600,1,3,1,38,0,340,9205,0,276,8673,0,240,8779,0,3200,6052,0,344,9131,0,360,9323,0
1300,2,2,2,24,0,80,901,0,80,966,0,148,1017,0,0,1136,2,60,1112,0,60,1147,0
5600,1,1,2,30,0,120,2431,0,100,2511,0,120,2545,0,120,2623,0,120,2694,0,120,2763,0
700,2,2,3,45,2,0,96,2,0,96,7,0,96,7,0,96,7,0,96,6,0,72,1
6500,2,1,1,37,1,31,0,-1,0,31,2,0,7,2,0,0,-2,0,0,-2,0,0,1
400,1,3,2,38,0,48,259,0,58,296,0,32,337,0,0,363,2,13,351,0,36,358,1
7900,1,2,2,37,0,400,7724,0,400,7995,0,0,8206,0,0,0,-2,0,0,-2,0,0,0
5500,2,2,2,30,2,240,4127,0,800,4298,0,80,5028,2,140,4967,2,600,4966,2,240,5487,0
3700,2,2,1,49,0,69,1752,0,96,1780,0,84,1847,0,80,1888,0,80,1924,0,72,1973,0
9600,1,1,2,40,-1,320,66,-1,200,282,-1,200,26,-1,0,191,-1,1600,101,-1,907,1496,0
5200,2,1,2,28,-2,0,-8,-2,8,-8,-2,85,0,-2,0,85,-2,0,0,-2,0,0,1
1900,2,2,1,38,0,98,269,0,0,362,2,53,351,0,14,397,0,15,399,0,20,407,0
14300,2,2,1,44,-1,536,256,-1,151,532,-1,301,150,-1,257,299,-1,367,256,-1,630,366,1
900,1,2,2,25,0,53,764,0,52,722,0,27,761,0,27,776,0,30,730,0,21,748,0
18300,1,1,2,35,0,105,1814,0,281,1720,0,401,1834,0,402,2035,0,402,2259,0,201,2036,0
14500,1,1,2,29,-1,13,12,-1,13,12,-1,13,12,-1,10,12,-1,0,10,-1,3839,-2,1
14100,1,1,2,29,0,80,1117,0,80,999,0,43,910,0,420,840,0,281,179,0,183,274,0
5100,1,3,2,58,0,80,1357,0,80,1414,0,80,1471,0,80,1252,0,80,1299,0,120,1358,0
1200,2,2,1,35,-1,13,13,-1,33,13,-1,13,33,-1,32,13,-1,13,32,-1,0,32,0
4000,2,2,2,32,0,139,4062,0,240,3949,0,130,3954,0,120,3930,0,116,3234,0,114,3246,0
12000,2,1,2,26,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
9300,2,1,2,28,0,81,308,0,280,310,-1,55,280,-1,223,55,-1,55,223,-1,140,55,0
3500,1,2,1,44,0,180,1864,0,0,2000,2,70,1760,0,57,1763,0,56,1653,0,49,1476,0
3100,2,3,1,28,0,81,3036,0,68,1365,0,80,1296,0,80,1306,0,120,1287,0,120,1260,0
17900,1,1,2,28,1,50,50,-2,50,50,-2,50,50,-2,50,50,-2,50,50,-2,50,50,0
6800,2,5,2,29,0,206,2672,0,120,2054,0,79,1553,0,188,1299,0,40,984,0,80,880,0
2800,2,1,2,25,-1,0,52,-1,80,0,-1,0,80,-1,0,0,-2,34,0,-1,0,34,0
16100,2,1,2,38,0,541,16197,0,495,14385,0,466,14411,0,475,13014,0,720,13145,0,600,13198,0
800,2,3,3,42,0,144,725,0,48,831,2,40,817,2,16,795,0,0,782,0,0,0,1
6400,1,1,1,47,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
9300,1,2,1,27,0,400,9254,0,280,9342,0,9480,3961,-1,260,9480,0,264,7388,0,272,7405,0
2900,1,1,2,41,0,95,2729,0,104,2637,0,105,2698,0,60,2704,0,60,1461,0,60,1497,0
6100,2,1,2,29,-1,40,428,0,206,217,-1,40,206,0,10,163,-1,10,10,-1,223,10,0
2000,1,3,1,48,0,52,417,0,60,338,0,20,386,0,20,379,0,20,372,0,8,371,0
5900,2,2,2,24,2,109,2278,0,110,2350,0,96,2398,0,100,2430,0,96,2485,0,74,2533,0
10500,1,1,1,34,0,328,6533,0,250,6622,0,280,6114,0,220,5704,0,220,5770,0,216,5769,0
18900,1,3,2,35,2,824,19961,0,760,19772,0,560,18825,0,544,15941,0,544,15597,0,540,15252,1
1300,2,2,1,30,-1,0,200,2,40,35,-1,16,37,-1,43,0,-1,136,43,-1,295,136,0
