Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
2700,2,2,1,31,0,104,2891,0,140,2864,0,120,2898,0,40,2842,0,60,1187,0,19,1153,0
14500,2,2,1,37,-2,309,403,-2,94,309,-2,381,94,-2,362,381,-2,0,362,-2,116,0,0
1300,2,2,3,18,4,120,1055,1,23,286,9,110,1288,6,274,816,-1,0,4,11,147,770,0
8300,2,2,2,33,0,200,1850,0,200,2019,0,200,2161,0,180,2324,0,200,2465,0,200,2623,0
3600,2,2,1,38,0,140,3699,0,133,3628,0,84,3229,0,102,2792,0,120,2555,0,3730,1605,1
8000,2,2,2,28,0,120,2478,0,120,2533,0,120,2588,0,100,2641,0,105,2673,0,108,2736,0
17200,2,2,1,30,-2,0,-612,-2,5830,-1334,-1,0,3830,2,100,3115,0,81,2507,0,80,1951,0
2300,2,2,1,49,2,112,2408,0,104,2430,0,84,2434,0,40,2356,0,40,774,0,28,781,1
5900,1,2,2,26,0,240,5380,0,280,5524,0,88,3570,0,1940,1987,0,144,3881,0,140,3969,0
1900,2,2,2,31,0,90,1966,0,76,1989,0,72,1977,0,28,1607,0,40,767,0,40,642,1
3300,2,2,1,39,2,156,3144,2,160,3227,2,0,3309,2,77,3234,0,72,1983,0,72,1934,1
800,1,2,2,47,0,76,584,0,40,650,2,40,667,0,40,696,0,75,725,0,40,787,0
3900,2,2,1,24,0,80,830,0,80,802,0,240,791,0,160,998,0,160,1146,0,120,335,0
2000,1,2,1,24,0,72,1929,0,68,1910,0,63,1846,0,80,1823,0,80,1816,0,64,1799,0
8400,2,2,1,31,-1,33,79,-1,0,30,-1,0,0,-2,0,0,-2,0,0,-2,0,0,1
4300,1,2,1,40,0,200,2811,0,200,2964,0,320,3116,0,0,3384,2,280,3294,2,0,3487,1
5300,2,2,1,35,1,0,0,-2,12,0,-1,147,12,-1,59,147,-1,222,59,-1,59,222,0
3300,2,2,1,37,0,100,2542,0,400,2392,0,120,2745,0,120,1626,0,200,1297,0,200,1466,0
4800,2,2,2,28,2,212,4474,2,144,4570,2,0,4612,2,136,4496,0,140,4571,0,180,4653,1
10100,2,2,2,23,-1,54,38,-1,105,54,-1,0,105,0,0,73,0,46,39,-1,69,46,1
10800,2,2,1,40,-1,0,33,2,33,17,-1,0,33,0,23,17,-1,17,23,-1,17,17,0
1500,2,2,1,39,0,120,1540,0,80,1475,0,60,1519,0,60,1446,0,60,1477,0,80,1507,0
4100,2,2,2,41,-1,0,63,-1,0,-1,-2,0,-1,-2,114,-1,-1,85,113,-1,0,85,0
2900,2,2,1,36,1,76,1207,2,48,1252,2,56,1267,2,52,1290,2,56,1316,2,56,1344,0
1300,1,2,3,48,0,56,518,0,65,565,0,12,614,0,15,201,0,2,211,0,40,2,0
2800,1,2,1,35,-1,197,16,-1,45,197,0,43,223,0,8,246,0,40,235,0,9,256,1
15500,2,2,1,43,2,181,3146,2,0,2406,2,61,1610,0,0,1655,0,40,1512,0,143,761,1
5500,1,2,1,72,0,203,5408,0,200,5413,0,200,5398,0,241,5431,0,201,5547,0,211,5488,0
5600,2,2,1,24,0,91,2510,0,95,2560,0,97,2614,0,97,2667,0,101,2720,0,120,2777,0
8900,1,2,1,36,0,260,5782,0,188,5499,0,200,5377,0,200,5283,0,200,5253,0,400,5219,0
2000,2,2,2,34,0,160,500,0,80,651,0,40,717,0,80,643,0,96,682,0,40,761,0
700,2,2,2,27,0,58,718,0,40,752,0,6,774,0,4,320,0,0,196,0,0,0,0
2800,2,2,2,35,0,116,2488,0,95,2563,0,179,2592,0,0,2666,2,73,2028,0,74,2032,0
5300,2,2,1,29,0,80,1289,0,80,1348,0,80,1394,0,40,1362,0,80,1313,0,285,668,0
4100,2,2,2,31,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
9700,2,2,1,26,0,264,7039,0,148,5970,0,124,3748,0,100,3249,0,121,2862,0,1808,2912,0
1300,2,2,1,27,-2,0,17,-2,0,0,-2,12,0,-2,0,12,-2,0,0,-2,0,0,0
9100,2,2,2,32,0,0,1916,0,0,0,-2,50,0,-1,3206,50,-1,124,3206,0,114,3271,0
3100,1,2,2,29,1,0,2143,2,240,2085,2,88,2266,2,0,2294,2,140,2233,2,140,2330,1
1100,1,2,2,29,0,74,1200,0,40,1196,0,68,1142,0,994,-9,-1,140,957,0,120,1066,0
4400,2,2,2,27,0,160,3258,0,160,3330,0,136,3398,0,136,3442,0,280,3522,0,138,3736,0
12000,1,2,2,30,-1,3143,3451,-1,1936,3127,-1,542,1927,-1,206,538,-1,228,205,-1,541,227,0
