Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
1300,2,2,3,18,4,120,1055,1,23,286,9,110,1288,6,274,816,-1,0,4,11,147,770,0
1300,1,2,3,48,0,56,518,0,65,565,0,12,614,0,15,201,0,2,211,0,40,2,0
7300,2,2,3,45,0,4061,3246,0,411,6917,0,184,7068,0,384,5080,0,800,4567,0,200,5185,0
5100,1,2,3,35,2,450,5070,2,0,5435,2,224,5290,0,206,5297,0,204,5278,0,180,5135,1
4900,2,5,3,98,0,56,176,7,2484,3054,10,242,3577,2,841,1060,3,147,867,7,1312,1343,1
2100,1,1,3,39,12,21,91,1,273,424,0,402,1202,9,1601,1763,2,4,14,6,323,704,1
9200,1,3,3,58,1,439,5927,9,85,2321,0,1745,7977,-1,1454,2839,1,4275,4836,12,88,2467,1
1900,2,2,3,30,1,0,2101,3,0,2057,2,80,1999,0,40,801,0,40,803,0,64,1505,1
10500,2,2,3,40,-1,320,320,-1,320,320,-1,320,320,-1,976,320,-1,80,976,0,16,722,0
600,1,4,3,62,6,114,121,2,45,94,10,119,123,3,408,433,-1,159,252,1,214,392,1
10400,2,3,3,56,0,400,7418,0,320,7638,0,286,7766,0,282,7891,0,296,6902,0,162,6616,0
2000,2,2,3,88,-1,260,329,6,152,154,11,190,246,0,1253,1735,4,753,1395,2,158,407,0
16000,1,1,3,30,1,69,0,-1,20,69,-1,59,20,-1,20,59,-1,20,20,-1,1479,20,0
3200,1,2,3,39,0,506,2887,0,183,3074,0,140,2896,0,80,2913,0,200,1859,0,80,2013,0
2800,2,3,3,51,2,123,3681,0,540,3194,0,280,3206,0,71,1909,0,92,1949,0,304,2009,1
7700,1,2,3,17,12,589,1586,12,180,2223,10,227,523,8,241,5276,5,4244,7061,9,2089,7649,1
7500,2,2,3,27,1,0,0,-2,12,0,-1,0,12,0,0,12,0,0,12,0,0,0,0
900,1,1,3,49,0,65,676,0,120,717,0,0,812,3,16,788,2,33,786,0,35,806,0
