Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
8100,1,1,2,29,-1,133,7,-1,1700,132,-1,0,1541,-1,751,-4,-1,498,747,-1,381,496,0
6400,1,1,2,30,-1,0,129,-1,150,-21,-1,0,120,0,0,29,0,36,0,-1,0,36,0
6300,1,5,1,66,2,624,2513,9,1001,1407,2,69,457,8,1165,1695,2,3317,5518,11,3303,3400,0
16800,1,1,2,35,0,602,16523,0,643,16561,0,506,16683,0,2028,13934,0,801,11486,0,405,10449,0
6400,1,1,2,29,-1,0,22,-1,28,-3,-1,0,25,-1,26,0,-1,0,13,0,0,13,0
5900,1,2,2,26,0,240,5380,0,280,5524,0,88,3570,0,1940,1987,0,144,3881,0,140,3969,0
2500,1,1,2,28,0,166,615,-1,777,165,0,40,778,0,40,716,0,40,739,0,40,754,0
19900,1,1,1,57,-2,200,548,-2,1247,200,-2,127,1245,-2,0,127,-2,212,0,-2,31,212,0
3300,1,1,2,26,0,84,2689,0,240,991,0,8,800,0,0,800,0,0,800,0,0,0,0
1900,1,3,1,52,0,65,1532,0,82,1572,0,187,1628,0,0,1774,2,159,1741,2,0,1873,0
2000,1,3,2,60,0,72,1854,0,80,1896,0,60,1945,0,40,1966,0,48,1108,0,44,1102,0
10700,1,1,1,38,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
800,1,2,2,47,0,76,584,0,40,650,2,40,667,0,40,696,0,75,725,0,40,787,0
2000,1,2,1,24,0,72,1929,0,68,1910,0,63,1846,0,80,1823,0,80,1816,0,64,1799,0
14900,1,1,2,32,0,200,1424,0,120,1593,0,200,1663,0,200,1767,0,320,1914,0,400,2174,0
4300,1,2,1,40,0,200,2811,0,200,2964,0,320,3116,0,0,3384,2,280,3294,2,0,3487,1
2700,1,1,2,44,1,3,2958,2,120,2884,0,186,1858,0,40,1870,0,40,851,0,0,575,0
5900,1,3,1,52,0,103,3552,0,105,3626,0,106,3700,0,160,3775,0,126,3904,0,89,3997,1
2500,1,1,2,33,0,120,2317,0,120,1990,0,0,2056,0,0,0,-2,0,0,-2,0,0,0
16000,1,1,2,35,-1,521,15,-1,52,508,-1,0,52,-1,0,0,-2,122,0,-1,151,122,0
7200,1,1,1,35,0,145,3428,0,96,3372,0,940,2488,0,152,3274,0,148,3143,0,20,3100,0
2700,1,3,2,36,0,107,2735,0,103,2796,0,63,2799,0,39,2285,0,40,1100,0,80,1087,1
1300,1,2,3,48,0,56,518,0,65,565,0,12,614,0,15,201,0,2,211,0,40,2,0
7600,1,3,1,30,-2,40,2065,-2,141,392,-2,37,137,-2,35,37,-2,0,-35,-2,63,-39,0
2800,1,2,1,35,-1,197,16,-1,45,197,0,43,223,0,8,246,0,40,235,0,9,256,1
5500,1,2,1,72,0,203,5408,0,200,5413,0,200,5398,0,241,5431,0,201,5547,0,211,5488,0
8900,1,2,1,36,0,260,5782,0,188,5499,0,200,5377,0,200,5283,0,200,5253,0,400,5219,0
11900,1,3,1,57,1,7,0,-1,51,7,-1,454,51,-1,15,454,-1,34,15,-1,0,34,0
9900,1,1,2,27,0,100,2051,0,100,2102,0,80,2151,0,80,2180,0,120,2227,0,164,2319,0
500,1,3,1,34,0,45,301,0,46,326,0,46,351,0,13,375,0,17,383,0,7,362,1
3100,1,2,2,29,1,0,2143,2,240,2085,2,88,2266,2,0,2294,2,140,2233,2,140,2330,1
1100,1,2,2,29,0,74,1200,0,40,1196,0,68,1142,0,994,-9,-1,140,957,0,120,1066,0
12000,1,2,2,30,-1,3143,3451,-1,1936,3127,-1,542,1927,-1,206,538,-1,228,205,-1,541,227,0
11900,1,1,2,29,-1,0,175,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
10500,1,2,2,32,0,0,2423,0,0,-3,-2,22,-3,-1,182,18,-1,6640,-318,-1,240,6264,0
700,1,3,1,42,0,46,326,0,80,360,0,80,434,0,40,507,0,32,526,0,40,550,0
8800,1,1,2,38,0,52,1374,0,80,1403,0,80,1294,0,1200,1263,0,120,2051,0,80,2144,0
5100,1,2,1,39,0,100,1040,0,132,1122,0,0,1236,2,103,1204,2,0,1287,2,129,1261,1
6300,1,2,1,25,0,174,4481,0,161,3432,0,88,2684,0,160,1207,0,0,0,-2,0,0,1
11700,1,2,2,27,0,129,3954,0,124,3586,0,6402,2018,0,198,7747,0,208,7523,0,183,6484,0
7500,1,2,2,28,0,297,6210,0,276,5447,0,204,5561,0,400,5601,0,220,5855,0,268,5958,0
500,1,1,2,23,-1,0,31,2,16,16,-1,0,16,-1,31,0,-1,0,31,-1,0,0,1
9600,1,1,1,58,2,280,7377,0,247,7543,0,240,7680,0,238,7415,0,211,7183,0,7702,3712,1
3600,1,2,1,56,0,144,3749,0,204,3433,0,88,3560,0,88,2031,0,78,2037,0,88,1949,0
2100,1,2,1,34,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,93,0,-1,0,118,0
20100,1,2,1,39,1,0,3666,2,180,3539,0,288,3608,0,0,3785,2,136,3705,0,92,3239,0
2100,1,2,2,28,2,0,1723,2,64,1677,0,68,1536,0,41,1226,0,100,1239,0,0,1220,1
2100,1,2,1,52,0,92,1857,0,80,1652,0,40,1610,0,40,611,0,40,569,0,40,600,0
700,1,2,2,42,0,51,629,0,64,669,0,52,722,0,27,750,0,34,765,0,35,787,0
7300,1,2,2,40,0,134,1179,0,0,1294,2,80,1261,0,49,1320,0,49,1347,0,108,1374,0
1900,1,1,2,64,0,55,1854,0,47,802,0,21,749,0,40,714,0,19,584,0,17,453,0
2000,1,2,2,22,0,80,1119,0,80,1149,0,41,1175,0,40,1166,0,280,1001,0,40,1184,0
1900,1,2,2,41,0,400,1712,0,841,1287,0,60,1944,0,120,301,0,48,373,0,316,-7,0
5700,1,1,1,57,2,0,4346,2,439,4220,2,152,4527,2,190,4545,2,77,4656,3,333,4633,1
11300,1,1,2,33,-1,0,86,-1,0,0,-2,233,0,-1,117,233,-1,1694,116,-1,97,1685,1
2400,1,3,2,28,0,88,2255,0,112,2306,0,71,2381,0,54,2345,0,60,1540,0,61,1540,0
3300,1,1,2,33,-2,520,10064,-1,0,10584,2,48,175,0,20,220,0,40,236,0,40,272,0
3900,1,2,1,29,-1,84,48,-1,0,84,-1,0,0,-2,0,0,-2,0,0,-2,173,0,1
