Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
8100,1,1,2,29,-1,133,7,-1,1700,132,-1,0,1541,-1,751,-4,-1,498,747,-1,381,496,0
6400,1,1,2,30,-1,0,129,-1,150,-21,-1,0,120,0,0,29,0,36,0,-1,0,36,0
16800,1,1,2,35,0,602,16523,0,643,16561,0,506,16683,0,2028,13934,0,801,11486,0,405,10449,0
6400,1,1,2,29,-1,0,22,-1,28,-3,-1,0,25,-1,26,0,-1,0,13,0,0,13,0
2500,1,1,2,28,0,166,615,-1,777,165,0,40,778,0,40,716,0,40,739,0,40,754,0
19900,1,1,1,57,-2,200,548,-2,1247,200,-2,127,1245,-2,0,127,-2,212,0,-2,31,212,0
3300,1,1,2,26,0,84,2689,0,240,991,0,8,800,0,0,800,0,0,800,0,0,0,0
10700,1,1,1,38,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
14900,1,1,2,32,0,200,1424,0,120,1593,0,200,1663,0,200,1767,0,320,1914,0,400,2174,0
2700,1,1,2,44,1,3,2958,2,120,2884,0,186,1858,0,40,1870,0,40,851,0,0,575,0
2500,1,1,2,33,0,120,2317,0,120,1990,0,0,2056,0,0,0,-2,0,0,-2,0,0,0
16000,1,1,2,35,-1,521,15,-1,52,508,-1,0,52,-1,0,0,-2,122,0,-1,151,122,0
7200,1,1,1,35,0,145,3428,0,96,3372,0,940,2488,0,152,3274,0,148,3143,0,20,3100,0
9900,1,1,2,27,0,100,2051,0,100,2102,0,80,2151,0,80,2180,0,120,2227,0,164,2319,0
11900,1,1,2,29,-1,0,175,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
8800,1,1,2,38,0,52,1374,0,80,1403,0,80,1294,0,1200,1263,0,120,2051,0,80,2144,0
500,1,1,2,23,-1,0,31,2,16,16,-1,0,16,-1,31,0,-1,0,31,-1,0,0,1
9600,1,1,1,58,2,280,7377,0,247,7543,0,240,7680,0,238,7415,0,211,7183,0,7702,3712,1
1900,1,1,2,64,0,55,1854,0,47,802,0,21,749,0,40,714,0,19,584,0,17,453,0
5700,1,1,1,57,2,0,4346,2,439,4220,2,152,4527,2,190,4545,2,77,4656,3,333,4633,1
11300,1,1,2,33,-1,0,86,-1,0,0,-2,233,0,-1,117,233,-1,1694,116,-1,97,1685,1
3300,1,1,2,33,-2,520,10064,-1,0,10584,2,48,175,0,20,220,0,40,236,0,40,272,0
7900,1,1,1,30,3,0,100,2,0,100,2,0,100,2,0,100,2,0,100,2,0,100,1
14400,1,1,2,33,0,320,3270,0,402,3279,0,400,3609,0,402,3456,0,402,3787,0,360,3731,0
900,1,1,2,25,-1,181,152,-1,327,179,-1,317,327,-1,122,316,-1,65,118,-1,152,49,0
6300,1,1,2,28,-1,44,44,-1,0,44,-1,272,0,-1,0,272,-1,0,0,-2,0,0,0
9900,1,1,2,38,0,280,5728,0,140,5856,0,124,3669,0,128,3536,0,140,3612,0,140,3698,0
2700,1,1,2,37,2,0,2001,2,160,1958,2,0,2072,2,200,2027,2,0,2194,2,160,2152,1
5900,1,1,1,51,-2,595,619,-2,784,594,-2,531,784,-2,573,530,-2,1368,573,-2,315,1368,0
9300,1,1,2,30,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
14300,1,1,1,40,-1,46,11,-1,0,46,2,88,11,-1,21,88,-1,0,21,0,11,11,0
10800,1,1,2,31,0,45,381,0,60,417,0,80,257,0,40,288,0,8,285,0,40,223,0
8000,1,1,2,25,-2,290,204,-2,609,290,-2,360,608,-2,359,360,-2,344,359,-2,332,344,0
10500,1,1,2,38,0,424,9955,0,388,9950,0,237,9816,0,225,6785,0,219,6604,0,219,6046,0
3700,1,1,2,25,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
8000,1,1,1,50,-1,32,55,-1,9,21,-1,52,9,-1,114,52,-1,0,114,-1,25,0,1
4000,1,1,2,29,0,120,1087,0,40,1176,2,0,1176,2,40,1156,-1,40,4,-1,40,38,0
19100,1,1,1,45,0,102,2762,0,104,2820,0,105,2877,0,108,2934,0,112,2996,0,244,3058,0
6000,1,1,1,42,-2,426,271,-2,130,425,-2,0,130,-2,0,0,-2,43,0,-1,0,43,0
7900,1,1,2,32,-1,138,264,-1,112,137,-1,2171,111,-1,280,2171,0,160,2413,0,240,2534,0
18000,1,1,1,54,-1,0,29,-1,17,0,-1,0,17,-1,0,0,-2,0,0,-2,246,0,0
4300,1,1,2,27,0,140,2046,0,140,2152,0,140,2256,0,120,2334,0,120,2410,0,120,2489,0
14300,1,1,1,39,-2,0,120,-2,27,0,-2,0,27,-2,27,0,-2,286,27,-2,6,286,0
12100,1,1,1,33,0,120,2647,0,140,2724,0,1202,2812,0,2000,3969,0,208,5688,0,200,5801,0
13500,1,1,1,49,-2,26,68,-2,14,26,-2,12,14,-2,18,12,-2,12,18,-2,15,12,1
6000,1,1,2,30,-2,41,40,-2,302,41,-2,48,302,-2,0,48,-2,0,0,-2,28,0,0
15300,1,1,2,32,-1,996,13,-1,113,996,-1,471,113,-1,936,471,-1,422,936,-1,1732,422,0
1600,1,1,2,28,0,80,1558,0,64,1562,0,63,980,0,100,606,0,60,629,0,1320,389,0
7900,1,1,1,38,-2,48,141,-2,79,48,-2,8,78,-2,41,0,-2,94,41,-2,100,94,0
14300,1,1,2,32,1,0,0,-2,0,0,-2,29,0,-1,0,29,-1,52,0,-1,0,52,0
11100,1,1,2,31,1,40,7660,2,304,7517,2,238,6769,0,240,6123,0,208,5340,0,205,5215,0
800,1,1,2,49,0,57,713,0,47,745,0,40,759,0,5,307,0,4,228,0,75,196,0
8400,1,1,2,30,2,15,47,-1,62,15,-1,0,62,0,31,31,-1,54,31,-1,812,54,0
12100,1,1,1,37,-1,0,78,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
15700,1,1,1,43,2,0,7408,2,240,7218,0,140,5255,0,200,5275,0,180,4607,0,120,3005,1
10300,1,1,1,49,-2,301,16,-2,22,301,-2,43,22,-2,71,43,-2,0,71,-2,0,0,0
2700,1,1,2,34,0,129,2554,0,67,2618,0,120,2607,0,6,2575,0,6,603,0,0,0,0
20800,1,1,2,32,0,201,383,0,200,328,0,520,274,0,401,527,0,400,682,0,201,701,0
