Date,Open,High,Low,Close,Adj Close,Volume
2018-02-21,336.029999,339.690002,333.170013,333.299988,333.299988,3219600
2018-02-22,335.529999,347.440002,334.750000,346.170013,346.170013,6969800
2018-02-23,347.829987,354.989990,347.100006,352.049988,352.049988,5817400
2018-02-26,353.500000,359.000000,352.359985,357.420013,357.420013,4340000
2018-02-27,356.250000,359.989990,350.010010,350.989990,350.989990,4797400
2018-02-28,352.570007,355.239990,342.220001,343.059998,343.059998,6069700
2018-03-01,345.010010,348.670013,330.070007,330.929993,330.929993,6885600
2018-03-02,326.980011,335.220001,322.970001,335.119995,335.119995,5092800
2018-03-05,332.390015,337.750000,329.290009,333.350006,333.350006,3823800
2018-03-06,333.750000,336.369995,327.029999,328.200012,328.200012,4285700
2018-03-07,325.440002,332.500000,321.739990,332.299988,332.299988,5007300
2018-03-08,332.859985,333.299988,326.269989,329.100006,329.100006,3566200
2018-03-09,324.100006,328.489990,322.369995,327.170013,327.170013,5506800
2018-03-12,328.609985,347.209991,326.500000,345.510010,345.510010,8264000
2018-03-13,328.609985,347.209991,326.500000,341.839996,341.839996,5965800
2018-03-14,336.760010,339.809998,323.929993,326.630005,326.630005,7967400
2018-03-15,329.380005,332.850006,321.100006,325.600006,325.600006,6564800
2018-03-16,322.929993,327.399994,319.070007,321.350006,321.350006,6117300
2018-03-19,316.500000,320.750000,309.670013,313.559998,313.559998,7459300
2018-03-20,314.869995,316.250000,308.760010,310.549988,310.549988,4764293
