DATE	A067RL1A156NBEA	A067RX1A020NBEA	A191RI1A225NBEA	A191RL1A225NBEA	A191RP1A027NBEA	ACOILBRENTEU	ACOILWTICO	AEXCHUS	AEXJPUS	AEXUSEU	CPALTT01USA657N	CPALTT01USA659N	CPALTT01USA661S	DDDM01USA156NWDB	DPCCRG3A086NBEA	DPCERG3A086NBEA	DPCERL1A225NBEA	FPCPITOTLZGUSA	FYFSGDA188S	GDPA	GDPCA	GPDIA	LEU0252881600A	LFWA64TTUSA647N	LFWA64TTUSA647S	MEHOINUSA672N	MEPAINUSA672N	NCBDBIA027N	PCECA	PCECCA	TWEXBANL	TWEXMANL	USHOWN
1929-01-01		842.991													10.089	9.915			0.70199	104.560	1056.555	17.168							77.384	780.977			
1930-01-01	-6.3	789.714	-3.6	-8.5	-11.9										9.715	9.495	-5.4		0.80072	92.167	966.654	11.428							70.136	739.142			
1931-01-01	-3.4	762.882	-10.3	-6.4	-16.0										8.904	8.478	-3.1		-0.59685	77.406	904.836	6.549							60.671	716.055			
1932-01-01	-13.1	662.955	-11.7	-12.9	-23.1										7.926	7.477	-9		-4.59417	59.532	788.205	1.818							48.712	651.949			
1933-01-01	-2.9	643.797	-2.8	-1.3	-4										7.544	7.211	-2.2		-4.55174	57.165	778.281	2.273							45.944	637.569			
1934-01-01	9.6	705.708	5.5	10.8	16.9										7.721	7.538	7.1		-5.36730	66.812	862.206	4.296							51.460	683.117			
1935-01-01	9.7	774.310	2.1	8.9	11.1										7.805	7.724	6.1		-3.77463	74.259	939.014	7.370							55.931	724.580			
1936-01-01	12.6	871.861	1.2	12.9	14.3										7.893	7.795	10.2		-5.07224	84.854	1060.497	9.391							62.187	798.292			
1937-01-01	3.4	901.375	4.3	5.1	9.6										8.218	8.079	3.7		-2.35733	93.029	1114.566	12.964							66.839	827.816			
1938-01-01	-5.5	852.015	-2.9	-3.3	-6.1										8.181	7.895	-1.6		-0.10185	87.387	1077.658	7.943							64.268	814.586			
1939-01-01	8.4	923.202	-0.9	8.0	7.0										8.119	7.819	5.6		-3.04473	93.473	1163.620	10.228							67.209	860.149			
1940-01-01	6.8	986.218	1.2	8.8	10.1										8.202	7.885	5.2		-2.83644	102.946	1266.115	14.577							71.290	904.694			
1941-01-01	15.8	1141.697	6.8	17.7	25.7										8.626	8.375	7.1		-3.81969	129.356	1490.250	19.370							81.071	968.638			
1942-01-01	13.4	1294.358	7.9	18.9	28.3										9.573	9.418	-2.4		-12.35143	165.997	1771.770	11.763							89.004	945.657			
1943-01-01	4.8	1356.684	4.5	17	22.4										10.316	10.284	2.8		-26.85775	203.122	2073.742	7.400							99.900	972.021			
1944-01-01	3.1	1399.025	2.4	8.0	10.5										11.050	10.875	2.8		-21.17880	224.550	2239.390	9.180							108.648	999.667			
1945-01-01	-1.1	1383.137	2.6	-1	1.6										11.559	11.310	6.2		-20.84077	228.173	2217.790	12.400						24000	119.979	1061.484			
1946-01-01	-1.1	1368.553	12.9	-11.6	-0.2										12.278	12.098	12.4		-6.99524	227.812	1960.925	33.129						24995	144.303	1193.550			
1947-01-01	-4.1	1312.902	10.9	-1.1	9.7										13.327	13.324	1.9		1.60755	249.945	1939.443	37.130						27843	161.979	1216.414			
1948-01-01	5.3	1382.061	5.6	4.1	9.9										14.062	14.078	2.3		4.29247	274.807	2019.967	50.345						32137	175.010	1243.887			
1949-01-01	0.8	1393.345	-0.2	-0.5	-0.7										14.083	13.969	2.8		0.21259	272.827	2008.940	39.095						35036	178.472	1278.454			
1950-01-01	9.2	1521.852	1.2	8.7	10										14.287	14.136	6.4		-1.03898	300.198	2183.987	56.532						36705	192.192	1360.469			
1951-01-01	3.4	1573.332	7.1	8.1	15.7										15.161	15.098	1.6		1.75701	347.294	2359.993	62.753						40061	208.485	1381.714			
1952-01-01	3.5	1627.809	1.7	4.1	5.9										15.463	15.408	3.2		-0.41308	367.728	2456.103	57.267						44828	219.471	1425.313			
1953-01-01	4.9	1706.870	1.2	4.7	6.0										15.802	15.613	4.8		-1.66599	389.739	2571.384	60.415						48414	233.012	1493.338			
1954-01-01	1.4	1731.266	0.9	-0.6	0.4										15.974	15.746	2.1		-0.29503	391.146	2556.850	58.068						52078	239.924	1524.714			
1955-01-01	6.7	1846.471	1.7	7.1	9.0										16.133	15.809	7.4		-0.70229	426.175	2739.027	73.760						54926	258.679	1637.264			
1956-01-01	4.8	1934.847	3.4	2.1	5.6								12.4662452143300		16.510	16.126	2.9		0.87686	450.130	2797.432	77.682						58418	271.569	1685.098			
1957-01-01	2.6	1984.944	3.3	2.1	5.5								.		17.009	16.616	2.5		0.71854	474.851	2856.269	76.505						64494	286.735	1726.758			
