DATE	FYFSD	FYFSDFYGDP	FYGDP
1901-06-30	63		
1902-06-30	77		
1903-06-30	45		
1904-06-30	-43		
1905-06-30	-23		
1906-06-30	25		
1907-06-30	87		
1908-06-30	-57		
1909-06-30	-89		
1910-06-30	-18		
1911-06-30	11		
1912-06-30	3		
1913-06-30	0		
1914-06-30	0		
1915-06-30	-63		
1916-06-30	48		
1917-06-30	-853		
1918-06-30	-9032		
1919-06-30	-13363		
1920-06-30	291		
1921-06-30	509		
1922-06-30	736		
1923-06-30	713		
1924-06-30	963		
1925-06-30	717		
1926-06-30	865		
1927-06-30	1155		
1928-06-30	939		
1929-06-30	734		
1930-06-30	738	0.75000	98.4
1931-06-30	-462	-0.54481	84.8
1932-06-30	-2735	-3.99270	68.5
1933-06-30	-2602	-4.46312	58.3
1934-06-30	-3586	-5.78387	62.0
1935-06-30	-2803	-3.97589	70.5
1936-06-30	-4304	-5.40704	79.6
1937-06-30	-2193	-2.46682	88.9
1938-06-30	-89	-0.09867	90.2
1939-06-30	-2846	-3.14823	90.4
1940-06-30	-2920	-2.97352	98.2
1941-06-30	-4941	-4.25215	116.2
1942-06-30	-20503	-13.88152	147.7
1943-06-30	-54554	-29.55255	184.6
1944-06-30	-47557	-22.24369	213.8
1945-06-30	-47553	-21.00398	226.4
1946-06-30	-15936	-6.98947	228.0
1947-06-30	4018	1.68188	238.9
1948-06-30	11796	4.49543	262.4
1949-06-30	580	0.20954	276.8
1950-06-30	-3119	-1.11792	279.0
1951-06-30	6102	1.86378	327.4
1952-06-30	-1519	-0.42490	357.5
1953-06-30	-6493	-1.69752	382.5
1954-06-30	-1154	-0.29765	387.7
1955-06-30	-2993	-0.73538	407.0
1956-06-30	3947	0.89909	439.0
1957-06-30	3412	0.73503	464.2
1958-06-30	-2769	-0.58381	474.3
1959-06-30	-12849	-2.54134	505.6
1960-06-30	301	0.05625	535.1
1961-06-30	-3335	-0.60902	547.6
1962-06-30	-7146	-1.21758	586.9
1963-06-30	-4756	-0.76796	619.3
1964-06-30	-5915	-0.89229	662.9
1965-06-30	-1411	-0.19854	710.7
1966-06-30	-3698	-0.47295	781.9
1967-06-30	-8643	-1.03114	838.2
1968-06-30	-25161	-2.79784	899.3
1969-06-30	3242	0.33004	982.3
1970-06-30	-2842	-0.27090	1049.1
1971-06-30	-23033	-2.05780	1119.3
1972-06-30	-23373	-1.91661	1219.5
1973-06-30	-14908	-1.09941	1356.0
1974-06-30	-6135	-0.41280	1486.2
1975-06-30	-53242	-3.30572	1610.6
1976-06-30	-73732	-4.11842	1790.3
1977-09-30	-53659	-2.64539	2028.4
1978-09-30	-59185	-2.59788	2278.2
1979-09-30	-40726	-1.58467	2570.0
1980-09-30	-73830	-2.63980	2796.8
1981-09-30	-78968	-2.51619	3138.4
1982-09-30	-127977	-3.86182	3313.9
1983-09-30	-207802	-5.86829	3541.1
1984-09-30	-185367	-4.68951	3952.8
1985-09-30	-212308	-4.97162	4270.4
1986-09-30	-221227	-4.87703	4536.1
1987-09-30	-149730	-3.13118	4781.9
1988-09-30	-155178	-3.01018	5155.1
1989-09-30	-152639	-2.74038	5570.0
1990-09-30	-221036	-3.73713	5914.6
1991-09-30	-269238	-4.40644	6110.1
1992-09-30	-290321	-4.51180	6434.7
1993-09-30	-255051	-3.75357	6794.9
1994-09-30	-203186	-2.82289	7197.8
1995-09-30	-163952	-2.16199	7583.4
1996-09-30	-107431	-1.34654	7978.3
1997-09-30	-21884	-0.25797	8483.2
1998-09-30	69270	0.77355	8954.8
1999-09-30	125610	1.32075	9510.5
2000-09-30	236241	2.32791	10148.2
2001-09-30	128236	1.21383	10564.6
2002-09-30	-157758	-1.45039	10876.9
2003-09-30	-377585	-3.33191	11332.4
2004-09-30	-412727	-3.41418	12088.6
2005-09-30	-318346	-2.46992	12888.9
2006-09-30	-248181	-1.81357	13684.7
2007-09-30	-160701	-1.12199	14322.9
2008-09-30	-458553	-3.10833	14752.4
2009-09-30	-1412688	-9.80040	14414.6
2010-09-30	-1294373	-8.74665	14798.5
2011-09-30	-1299599	-8.45037	15379.2
2012-09-30	-1086955	-6.78194	16027.2
2013-09-30	-679542	-4.11447	16515.9
2014-09-30	-484600	-2.81032	17243.6
2015-09-30	-438496	-2.43841	17982.9
2016-09-30	-584651	-3.16543	18469.9
2017-09-30	-665372	-3.46960	19177.2
