DATE	DRCCLACBN	DRCCLACBS	DRSFRMACBN	DRSFRMACBS	GFDEBTN
1966-01-01					320999
1966-04-01					316097
1966-07-01					324748
1966-10-01					329319
1967-01-01					330947
1967-04-01					322893
1967-07-01					335896
1967-10-01					344663
1968-01-01					349473
1968-04-01					345369
1968-07-01					354743
1968-10-01					358029
1969-01-01					359546
1969-04-01					352895
1969-07-01					360685
1969-10-01					368226
1970-01-01					372007
1970-04-01					370094
1970-07-01					378678
1970-10-01					389158
1971-01-01					391668
1971-04-01					397305
1971-07-01					412268
1971-10-01					424131
1972-01-01					427344
1972-04-01					426435
1972-07-01					433946
1972-10-01					448473
1973-01-01					458606
1973-04-01					457317
1973-07-01					460614
1973-10-01					469073
1974-01-01					473675
1974-04-01					474235
1974-07-01					481466
1974-10-01					492664
1975-01-01					509659
1975-04-01					533188
1975-07-01					553647
1975-10-01					576649
1976-01-01					600490
1976-04-01					620432
1976-07-01					634701
1976-10-01					653543
1977-01-01					669207
1977-04-01					674425
1977-07-01					698840
1977-10-01					718943
1978-01-01					737951
1978-04-01					749024
1978-07-01					771544
1978-10-01					789207
1979-01-01					796792
1979-04-01					804913
1979-07-01					826519
1979-10-01					845116
1980-01-01					863451
1980-04-01					877614
1980-07-01					907701
1980-10-01					930210
1981-01-01					964531
1981-04-01					971174
1981-07-01					997855
1981-10-01					1028729
1982-01-01					1061299
1982-04-01					1079630
1982-07-01					1142035
1982-10-01					1197074
1983-01-01					1244493
1983-04-01					1319581
1983-07-01					1377211
1983-10-01					1410702
1984-01-01					1463741
1984-04-01					1512697
1984-07-01					1572267
1984-10-01					1662966
1985-01-01					1710731
1985-04-01					1774640
1985-07-01					1823103
1985-10-01					1945942
1986-01-01					1986816
1986-04-01					2059349
1986-07-01					2125304
1986-10-01					2214835
1987-01-01					2246724
1987-04-01					2309296
1987-07-01					2350277
1987-10-01					2431715
1988-01-01					2487551
1988-04-01					2547656
1988-07-01					2602183
1988-10-01					2684392
1989-01-01					2740898
1989-04-01					2799923
1989-07-01					2857431
1989-10-01					2952994
1990-01-01					3051958
1990-04-01					3143754
1990-07-01					3233313
1990-10-01					3364820
1991-01-01	5.31	5.26	3.18	3.10	3465189
1991-04-01	5.35	5.48	3.07	3.16	3537988
1991-07-01	5.43	5.35	3.17	3.23	3665303
1991-10-01	5.32	5.32	3.30	3.30	3801698
1992-01-01	5.32	5.27	3.23	3.13	3881288
1992-04-01	4.97	5.10	2.96	3.04	3984656
1992-07-01	5.05	4.98	2.88	2.89	4064621
1992-10-01	4.70	4.69	2.86	2.79	4177009
1993-01-01	4.64	4.60	2.82	2.79	4230580
1993-04-01	4.34	4.46	2.58	2.66	4351950
1993-07-01	4.15	4.08	2.59	2.57	4411489
1993-10-01	3.92	3.91	2.45	2.46	4535687
1994-01-01	3.63	3.60	2.47	2.38	4575869
1994-04-01	3.19	3.29	2.18	2.25	4645802
1994-07-01	3.30	3.25	2.11	2.16	4692750
1994-10-01	3.31	3.29	2.11	2.07	4800150
1995-01-01	3.50	3.48	2.11	2.08	4864116
1995-04-01	3.59	3.70	2.03	2.11	4951372
1995-07-01	3.92	3.85	2.15	2.15	4973983
1995-10-01	4.00	3.95	2.28	2.17	4988665
1996-01-01	4.05	4.04	2.22	2.18	5117786
1996-04-01	4.12	4.27	2.17	2.26	5161076
1996-07-01	4.54	4.46	2.22	2.24	5224811
1996-10-01	4.69	4.60	2.41	2.34	5323172
1997-01-01	4.68	4.70	2.32	2.30	5380890
