DATE	CUUS0000SA0	CUUS0000SA0L1E
1984-01-01	102.900	103.200
1984-07-01	104.900	105.800
1985-01-01	106.600	108.000
1985-07-01	108.500	110.300
1986-01-01	109.100	112.400
1986-07-01	110.100	114.700
1987-01-01	112.400	116.900
1987-07-01	114.900	119.500
1988-01-01	116.800	122.000
1988-07-01	119.700	124.900
1989-01-01	122.700	127.600
1989-07-01	125.300	130.300
1990-01-01	128.700	133.700
1990-07-01	132.600	137.200
1991-01-01	135.200	140.800
1991-07-01	137.200	143.500
1992-01-01	139.200	146.200
1992-07-01	141.400	148.400
1993-01-01	143.700	151.200
1993-07-01	145.300	153.100
1994-01-01	147.200	155.500
1994-07-01	149.300	157.500
1995-01-01	151.500	160.200
1995-07-01	153.200	162.200
1996-01-01	155.800	164.600
1996-07-01	157.900	166.500
1997-01-01	159.900	168.800
1997-07-01	161.200	170.200
1998-01-01	162.300	172.500
1998-07-01	163.700	174.300
1999-01-01	165.400	176.200
1999-07-01	167.800	177.800
2000-01-01	170.800	180.300
2000-07-01	173.600	182.300
2001-01-01	176.600	185.000
2001-07-01	177.500	187.200
2002-01-01	178.900	189.600
2002-07-01	180.900	191.300
2003-01-01	183.300	192.800
2003-07-01	184.600	193.700
2004-01-01	187.600	195.800
2004-07-01	190.200	197.500
2005-01-01	193.200	200.200
2005-07-01	197.400	201.600
2006-01-01	200.600	204.700
2006-07-01	202.600	207.100
2007-01-01	205.709	209.691
2007-07-01	208.976	211.767
2008-01-01	214.429	214.610
2008-07-01	216.177	216.533
2009-01-01	213.139	218.433
2009-07-01	215.935	220.037
2010-01-01	217.535	220.895
2010-07-01	218.576	221.778
2011-01-01	223.598	223.737
2011-07-01	226.280	226.278
2012-01-01	228.850	228.770
2012-07-01	230.338	230.740
2013-01-01	232.366	232.906
2013-07-01	233.548	234.706
2014-01-01	236.384	237.008
2014-07-01	237.088	238.785
2015-01-01	236.265	241.112
2015-07-01	237.769	243.381
2016-01-01	238.778	246.483
2016-07-01	241.237	248.722
2017-01-01	244.076	251.335
2017-07-01	246.163	253.004
