DATE	TREAST	WALCL
2002-12-18	629397	719542
2002-12-25	629402	732059
2003-01-01	629406	730994
2003-01-08	629406	723762
2003-01-15	629406	720074
2003-01-22	629406	735953
2003-01-29	629406	712809
2003-02-05	629401	719643
2003-02-12	630947	713281
2003-02-19	631263	730400
2003-02-26	635996	721980
2003-03-05	637139	722649
2003-03-12	638714	717014
2003-03-19	639889	729923
2003-03-26	640891	725019
2003-04-02	641472	732452
2003-04-09	645074	727826
2003-04-16	646785	745838
2003-04-23	646891	732222
2003-04-30	647271	746294
2003-05-07	647570	733466
2003-05-14	647937	740371
2003-05-21	650725	734699
2003-05-28	650859	744896
2003-06-04	651403	731667
2003-06-11	651603	743236
2003-06-18	651922	735926
2003-06-25	651993	744018
2003-07-02	652353	740126
2003-07-09	652451	744430
2003-07-16	652690	737765
2003-07-23	652827	745665
2003-07-30	652856	740295
2003-08-06	653024	734018
2003-08-13	653278	735386
2003-08-20	653516	750825
2003-08-27	653671	740637
2003-09-03	653931	750461
2003-09-10	655592	737234
2003-09-17	655943	743939
2003-09-24	655993	741193
2003-10-01	656186	753155
2003-10-08	656270	737108
2003-10-15	656489	754229
2003-10-22	656754	743578
2003-10-29	658672	747272
2003-11-05	658875	744116
2003-11-12	660279	745604
2003-11-19	662703	744521
2003-11-26	664515	756964
2003-12-03	665232	749981
2003-12-10	665610	756585
2003-12-17	665953	753919
2003-12-24	666216	767012
2003-12-31	666665	771551
2004-01-07	666720	755829
2004-01-14	666798	752812
2004-01-21	666832	775833
2004-01-28	667060	755279
2004-02-04	667292	754153
2004-02-11	669851	750999
2004-02-18	670786	758759
2004-02-25	671527	750666
2004-03-03	671632	754867
2004-03-10	673039	749950
2004-03-17	673153	760638
2004-03-24	673995	751510
2004-03-31	674084	760725
2004-04-07	674294	754083
2004-04-14	674717	763734
2004-04-21	674937	757984
2004-04-28	676383	772927
2004-05-05	677811	758838
2004-05-12	677835	764835
2004-05-19	679618	756874
2004-05-26	680633	771108
2004-06-02	681483	764090
2004-06-09	683932	772187
2004-06-16	684993	761834
2004-06-23	685177	775261
2004-06-30	687391	779578
2004-07-07	687893	778163
2004-07-14	690309	775536
2004-07-21	692299	776764
2004-07-28	693717	773916
2004-08-04	693734	772085
2004-08-11	693746	769265
2004-08-18	694760	767595
2004-08-25	694840	775437
2004-09-01	694858	785273
2004-09-08	694869	788602
2004-09-15	695703	789128
2004-09-22	698161	782124
2004-09-29	698617	786330
2004-10-06	701586	781777
2004-10-13	701617	795483
2004-10-20	702813	784954
2004-10-27	706730	791336
2004-11-03	708130	790552
2004-11-10	708909	800473
2004-11-17	710134	794090
2004-11-24	711595	809956
2004-12-01	712891	807063
2004-12-08	717072	808495
2004-12-15	717661	807028
2004-12-22	717682	811333
2004-12-29	717813	810944
2005-01-05	717821	815702
2005-01-12	717823	798455
2005-01-19	717825	806960
2005-01-26	717828	807262
