DATE	IC4WSA	ICNSA	ICSA
1967-01-07		346000	208000
1967-01-14		334000	207000
1967-01-21		277000	217000
1967-01-28	209000	252000	204000
1967-02-04	211000	274000	216000
1967-02-11	216500	276000	229000
1967-02-18	219500	247000	229000
1967-02-25	229000	248000	242000
1967-03-04	252500	326000	310000
1967-03-11	255500	240000	241000
1967-03-18	259500	225000	245000
1967-03-25	260750	215000	247000
1967-04-01	248000	223000	259000
1967-04-08	252000	251000	257000
1967-04-15	265500	289000	299000
1967-04-22	265000	218000	245000
1967-04-29	264000	216000	255000
1967-05-06	263250	221000	254000
1967-05-13	246250	188000	231000
1967-05-20	242500	177000	230000
1967-05-27	235750	170000	228000
1967-06-03	234250	175000	248000
1967-06-10	236000	188000	238000
1967-06-17	234500	176000	224000
1967-06-24	232000	178000	218000
1967-07-01	222250	206000	209000
1967-07-08	222750	322000	240000
1967-07-15	227000	309000	241000
1967-07-22	232500	282000	240000
1967-07-29	232500	243000	209000
1967-08-05	227750	250000	221000
1967-08-12	218000	193000	202000
1967-08-19	211750	174000	215000
1967-08-26	212750	160000	213000
1967-09-02	212000	163000	218000
1967-09-09	219250	156000	231000
1967-09-16	220500	165000	220000
1967-09-23	219500	155000	209000
1967-09-30	216000	154000	204000
1967-10-07	216000	195000	231000
1967-10-14	212500	159000	206000
1967-10-21	216000	181000	223000
1967-10-28	216750	174000	207000
1967-11-04	214500	204000	222000
1967-11-11	216500	201000	214000
1967-11-18	210250	209000	198000
1967-11-25	206250	200000	191000
1967-12-02	199750	228000	196000
1967-12-09	201500	258000	221000
1967-12-16	203000	241000	204000
1967-12-23	210000	289000	219000
1967-12-30	215000	332000	216000
1968-01-06	215250	357000	222000
1968-01-13	219750	373000	222000
1968-01-20	220250	293000	221000
1968-01-27	215750	242000	198000
1968-02-03	221250	308000	244000
1968-02-10	218250	257000	210000
1968-02-17	212000	214000	196000
1968-02-24	210750	199000	193000
1968-03-02	197250	198000	190000
1968-03-09	195750	208000	204000
1968-03-16	194250	179000	190000
1968-03-23	196000	175000	200000
1968-03-30	196500	165000	192000
1968-04-06	193250	184000	191000
1968-04-13	188500	167000	171000
1968-04-20	184250	165000	183000
1968-04-27	199000	216000	251000
1968-05-04	203500	180000	209000
1968-05-11	209250	164000	194000
1968-05-18	213250	156000	199000
1968-05-25	199000	148000	194000
1968-06-01	196500	139000	199000
1968-06-08	196000	149000	192000
1968-06-15	194750	154000	194000
1968-06-22	193500	152000	189000
1968-06-29	192250	173000	194000
1968-07-06	197750	266000	214000
1968-07-13	195750	242000	186000
1968-07-20	193500	216000	180000
1968-07-27	196250	238000	205000
1968-08-03	194250	235000	206000
1968-08-10	202250	222000	218000
1968-08-17	205250	160000	192000
1968-08-24	202250	148000	193000
1968-08-31	197750	139000	188000
1968-09-07	190500	135000	189000
1968-09-14	191250	141000	195000
1968-09-21	190750	142000	191000
1968-09-28	191000	143000	189000
1968-10-05	190000	153000	185000
1968-10-12	187750	151000	186000
1968-10-19	187750	151000	191000
1968-10-26	186000	152000	182000
1968-11-02	185000	161000	181000
1968-11-09	184250	174000	183000
1968-11-16	184500	196000	192000
1968-11-23	188750	211000	199000
1968-11-30	184000	180000	162000
1968-12-07	185250	223000	188000
1968-12-14	186000	233000	195000
1968-12-21	184250	243000	192000
1968-12-28	199500	333000	223000
1969-01-04	200000	290000	190000
1969-01-11	199000	337000	191000
1969-01-18	199000	265000	192000
1969-01-25	191500	236000	193000
1969-02-01	194750	250000	203000
1969-02-08	196250	248000	197000
1969-02-15	196250	219000	192000
1969-02-22	196000	199000	192000
1969-03-01	195500	206000	201000
1969-03-08	194000	195000	191000
1969-03-15	193250	179000	189000
1969-03-22	190500	158000	181000
1969-03-29	186000	157000	183000
1969-04-05	183750	170000	182000
1969-04-12	184000	187000	190000
1969-04-19	185500	168000	187000
1969-04-26	184000	151000	177000
1969-05-03	182750	150000	177000
1969-05-10	181000	157000	183000
1969-05-17	179000	141000	179000
1969-05-24	179750	138000	180000
1969-05-31	182250	135000	187000
1969-06-07	184500	148000	192000
1969-06-14	185250	145000	182000
1969-06-21	188000	155000	191000
1969-06-28	192000	177000	203000
1969-07-05	200750	267000	227000
1969-07-12	207750	271000	210000
1969-07-19	211500	246000	206000
1969-07-26	208750	221000	192000
1969-08-02	201000	223000	196000
1969-08-09	199250	210000	203000
1969-08-16	197500	168000	199000
1969-08-23	199250	154000	199000
1969-08-30	199000	144000	195000
1969-09-06	193750	133000	182000
1969-09-13	196250	149000	209000
1969-09-20	195250	147000	195000
1969-09-27	194750	147000	193000
1969-10-04	197500	159000	193000
1969-10-11	195250	168000	200000
1969-10-18	196250	155000	199000
1969-10-25	199250	171000	205000
1969-11-01	200500	174000	198000
1969-11-08	203250	206000	211000
1969-11-15	202750	196000	197000
1969-11-22	205750	230000	217000
1969-11-29	206750	219000	202000
1969-12-06	204500	247000	202000
1969-12-13	210750	264000	222000
1969-12-20	214500	289000	232000
1969-12-27	219750	320000	223000
1970-01-03	226750	344000	230000
1970-01-10	231750	429000	242000
1970-01-17	240750	386000	268000
1970-01-24	249000	316000	256000
1970-01-31	251250	293000	239000
1970-02-07	254750	324000	256000
1970-02-14	254000	308000	265000
1970-02-21	257750	285000	271000
1970-02-28	258500	241000	242000
1970-03-07	260000	270000	262000
1970-03-14	261500	258000	271000
1970-03-21	259750	233000	264000
1970-03-28	268250	236000	276000
1970-04-04	271000	250000	273000
1970-04-11	279500	300000	305000
1970-04-18	307000	339000	374000
1970-04-25	325250	299000	349000
1970-05-02	340500	278000	334000
1970-05-09	343750	279000	318000
1970-05-16	326000	242000	303000
1970-05-23	312750	231000	296000
1970-05-30	304500	224000	301000
1970-06-06	300250	234000	301000
1970-06-13	299000	242000	298000
1970-06-20	299000	245000	296000
1970-06-27	296500	247000	291000
1970-07-04	290500	309000	277000
1970-07-11	288000	369000	288000
1970-07-18	287500	353000	294000
1970-07-25	286500	329000	287000
1970-08-01	282500	293000	261000
1970-08-08	277000	278000	266000
1970-08-15	278500	257000	300000
1970-08-22	282500	238000	303000
1970-08-29	291500	220000	297000
1970-09-05	306000	240000	324000
1970-09-12	304000	207000	292000
1970-09-19	309500	247000	325000
1970-09-26	318500	256000	333000
1970-10-03	325000	284000	350000
1970-10-10	333750	287000	327000
1970-10-17	336000	259000	334000
1970-10-24	335250	280000	330000
1970-10-31	329500	283000	327000
1970-11-07	331750	333000	336000
1970-11-14	326750	307000	314000
1970-11-21	322750	333000	314000
1970-11-28	325250	354000	337000
1970-12-05	318250	378000	308000
1970-12-12	316250	370000	306000
1970-12-19	310000	354000	289000
1970-12-26	306000	451000	321000
1971-01-02	304750	443000	303000
1971-01-09	300250	500000	288000
1971-01-16	302750	452000	299000
1971-01-23	300500	399000	312000
1971-01-30	297750	353000	292000
1971-02-06	299750	375000	296000
1971-02-13	295500	333000	282000
1971-02-20	284500	286000	268000
1971-02-27	284000	289000	290000
1971-03-06	284250	306000	297000
1971-03-13	285500	275000	287000
1971-03-20	291250	260000	291000
1971-03-27	293750	261000	300000
1971-04-03	294250	267000	299000
1971-04-10	292250	278000	279000
1971-04-17	290500	257000	284000
1971-04-24	287500	248000	288000
1971-05-01	285250	237000	290000
1971-05-08	288750	260000	293000
1971-05-15	288750	230000	284000
1971-05-22	290500	231000	295000
1971-05-29	292750	231000	299000
1971-06-05	294750	232000	301000
1971-06-12	297500	244000	295000
1971-06-19	298500	249000	299000
1971-06-26	296500	247000	291000
1971-07-03	290500	288000	277000
1971-07-10	282750	335000	264000
1971-07-17	286250	367000	313000
1971-07-24	289500	342000	304000
1971-07-31	297250	340000	308000
1971-08-07	318500	362000	349000
1971-08-14	321500	282000	325000
1971-08-21	325500	252000	320000
1971-08-28	325250	228000	307000
1971-09-04	327750	268000	359000
1971-09-11	324500	219000	312000
1971-09-18	320000	230000	302000
1971-09-25	320250	236000	308000
1971-10-02	305250	238000	299000
1971-10-09	305500	280000	313000
1971-10-16	304750	233000	299000
1971-10-23	301250	251000	294000
1971-10-30	297250	241000	283000
1971-11-06	294250	297000	301000
1971-11-13	293250	289000	295000
1971-11-20	288250	291000	274000
1971-11-27	287000	284000	278000
1971-12-04	286500	372000	299000
1971-12-11	282750	348000	280000
1971-12-18	281500	329000	269000
1971-12-25	273000	340000	244000
1972-01-01	268000	405000	279000
1972-01-08	271750	479000	295000
1972-01-15	267000	395000	250000
1972-01-22	271750	347000	263000
1972-01-29	269250	326000	269000
1972-02-05	264500	342000	276000
1972-02-12	268500	318000	266000
1972-02-19	267250	279000	258000
1972-02-26	263500	252000	254000
1972-03-04	258750	263000	257000
1972-03-11	258250	257000	264000
1972-03-18	260250	241000	266000
1972-03-25	262750	231000	264000
1972-04-01	263000	224000	258000
1972-04-08	265500	271000	274000
1972-04-15	263750	237000	259000
1972-04-22	262500	223000	259000
1972-04-29	264250	214000	265000
1972-05-06	263500	234000	271000
1972-05-13	265250	218000	266000
1972-05-20	267250	210000	267000
1972-05-27	267750	209000	267000
1972-06-03	266000	198000	264000
1972-06-10	266500	224000	268000
1972-06-17	268500	227000	275000
1972-06-24	273250	240000	286000
1972-07-01	294750	327000	350000
1972-07-08	302000	364000	297000
1972-07-15	312750	367000	318000
1972-07-22	310250	299000	276000
1972-07-29	284500	266000	247000
1972-08-05	272750	256000	250000
1972-08-12	254750	220000	246000
1972-08-19	249750	203000	256000
1972-08-26	253500	195000	262000
1972-09-02	255500	192000	258000
1972-09-09	258750	178000	259000
1972-09-16	259250	196000	258000
1972-09-23	257500	193000	255000
1972-09-30	255750	192000	251000
1972-10-07	256750	233000	263000
1972-10-14	254750	202000	250000
1972-10-21	255250	214000	257000
1972-10-28	251000	196000	234000
1972-11-04	249000	242000	255000
1972-11-11	247000	236000	242000
1972-11-18	250500	280000	271000
1972-11-25	250750	238000	235000
1972-12-02	243500	268000	226000
1972-12-09	246000	317000	252000
1972-12-16	244000	323000	263000
1972-12-23	246750	327000	246000
1972-12-30	246500	338000	225000
1973-01-06	240000	345000	226000
1973-01-13	235500	412000	245000
1973-01-20	231250	324000	229000
1973-01-27	228500	267000	214000
1973-02-03	229000	285000	228000
1973-02-10	224250	276000	226000
1973-02-17	221000	242000	216000
1973-02-24	222000	220000	218000
1973-03-03	221250	233000	225000
1973-03-10	222000	227000	229000
1973-03-17	225000	212000	228000
1973-03-24	228500	209000	232000
1973-03-31	227750	193000	222000
1973-04-07	232250	244000	247000
1973-04-14	232750	212000	230000
1973-04-21	235500	211000	243000
1973-04-28	239000	194000	236000
1973-05-05	239250	214000	248000
1973-05-12	241250	198000	238000
1973-05-19	239750	189000	237000
1973-05-26	240250	190000	238000
1973-06-02	236250	173000	232000
1973-06-09	238250	210000	246000
1973-06-16	238250	198000	237000
1973-06-23	239250	206000	242000
1973-06-30	240500	215000	237000
1973-07-07	241000	309000	248000
1973-07-14	239750	270000	232000
1973-07-21	239500	259000	241000
1973-07-28	242750	265000	250000
1973-08-04	244750	262000	256000
1973-08-11	253000	238000	265000
1973-08-18	257250	207000	258000
1973-08-25	258250	190000	254000
1973-09-01	254750	180000	242000
1973-09-08	251500	177000	252000
1973-09-15	248250	186000	245000
