Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
10800,2,4,2,43,-2,74,574,-2,368,74,-2,83,368,-2,25,83,-2,10,25,-2,0,10,0
7100,2,4,1,46,0,250,6062,0,257,5357,0,260,5468,0,433,5578,0,0,5741,2,222,5645,0
3100,2,4,1,30,1,218,1644,6,2497,2960,2,474,2799,0,620,3072,4,1312,2616,12,355,1939,1
5900,1,4,2,29,0,340,8018,0,320,8253,0,100,8249,0,60,2800,0,0,2400,0,0,0,1
8000,2,4,2,33,-1,172,244,-1,633,172,-2,160,631,-2,198,160,-2,17,197,-1,0,17,0
600,1,4,3,62,6,114,121,2,45,94,10,119,123,3,408,433,-1,159,252,1,214,392,1
7300,2,4,2,28,0,3616,1683,0,4001,3880,0,800,5350,0,1040,5436,0,280,6385,0,266,6435,0
5900,1,4,2,30,0,161,6397,0,5876,2747,0,6297,6448,-1,184,6019,0,188,5735,0,224,5856,0
8900,2,4,1,36,-1,13,74,-1,507,13,-1,3387,507,-1,1413,3387,-1,41,1413,-1,124,41,0
11200,2,4,1,42,-2,494,215,-2,829,494,-2,0,829,-2,0,0,-2,685,0,-2,107,685,1
11500,2,4,1,50,-1,0,158,-1,0,0,-2,43,0,-2,18,43,-2,6,18,-1,10,6,0
8100,1,4,1,34,-2,230,120,-2,201,230,-2,552,201,-1,116,551,0,124,579,0,12,473,0
16100,2,4,1,38,-2,37,596,-2,48,37,-2,477,48,-2,451,477,-2,231,451,-2,661,231,0
3300,1,4,2,32,0,200,2372,0,0,558,0,0,0,-2,0,0,-2,0,0,-2,0,0,0
